id,name,role,dept,level,location,tenure,promo,risk,skills,performance,confidence
"39","Employee 39","Senior Marketing Specialist","Marketing","Senior","Bandung","0.9 yrs","N/A","62","Skill","Good","100"
"40","Employee 40","Senior Admin Officer","Operations","Senior","Surabaya","2.8 yrs","2 yrs ago","58","Skill","Good","70"
"41","Employee 41","Mid HR Business Partner","HR","Mid","Singapore","5.3 yrs","N/A","63","Skill","Good","100"
"42","Employee 42","Lead Financial Analyst","Finance","Lead","Singapore","2.2 yrs","N/A","58","Skill","Good","100"
"43","Employee 43","Lead Payroll Specialist","Finance","Lead","Surabaya","1.6 yrs","3 yrs ago","51","Skill","Good","100"
"44","Employee 44","Lead Account Manager","Sales","Lead","Surabaya","1.9 yrs","2 yrs ago","65","Skill","","50"
"45","Employee 45","Lead HR Business Partner","HR","Lead","Bandung","0.1 yrs","N/A","60","Skill","Good","100"
"46","Employee 46","Junior Business Development","Sales","Junior","Singapore","5.1 yrs","0 yrs ago","51","Skill","Good","100"
"47","Employee 47","Lead HR Business Partner","HR","Lead","Singapore","3.1 yrs","N/A","58","Skill","Good","100"
"48","Employee 48","Lab Technician (General)","Clinical","General","Singapore","3.4 yrs","0 yrs ago","78","Skill","Good","100"
"49","Employee 49","Junior Payroll Specialist","Finance","Junior","Singapore","5.7 yrs","3 yrs ago","80","Skill","","80"
"50","Employee 50","Mid HR Generalist","HR","Mid","Singapore","0.7 yrs","N/A","85","Skill","Good","100"
"51","Employee 51","Lead Talent Acquisition","HR","Lead","Bandung","3.0 yrs","N/A","62","Skill","Good","100"
"52","Employee 52","Senior BI Analyst","Data","Senior","Surabaya","3.8 yrs","N/A","85","Skill","Good","100"
"53","Employee 53","Mid Business Development","Sales","Mid","Surabaya","4.8 yrs","N/A","84","","","50"
"54","Employee 54","Mid Frontend Engineer","Engineering","Mid","Singapore","3.3 yrs","1 yrs ago","79","Skill","","80"
"55","Employee 55","Junior Frontend Engineer","Engineering","Junior","Surabaya","3.9 yrs","N/A","70","Skill","Good","100"
"56","Employee 56","Pharmacist (Consultant)","Clinical","Consultant","Bandung","2.9 yrs","2 yrs ago","88","","Good","70"
"57","Employee 57","Mid Talent Acquisition","HR","Mid","Bandung","1.2 yrs","0 yrs ago","84","Skill","Good","100"
"58","Employee 58","Nurse (Consultant)","Clinical","Consultant","Singapore","2.5 yrs","N/A","77","","","50"
"59","Employee 59","Junior HR Business Partner","HR","Junior","Jakarta","1.9 yrs","1 yrs ago","75","Skill","Good","100"
"60","Employee 60","Lead HR Generalist","HR","Lead","Singapore","2.8 yrs","1 yrs ago","79","Skill","Good","100"
"61","Employee 61","Senior Talent Acquisition","HR","Senior","Surabaya","2.4 yrs","0 yrs ago","70","Skill","Good","100"
"62","Employee 62","Mid Admin Officer","Operations","Mid","Jakarta","4.9 yrs","N/A","60","Skill","Good","100"
"63","Employee 63","Mid Product Marketing","Marketing","Mid","Surabaya","6.0 yrs","3 yrs ago","67","Skill","Good","100"
"64","Employee 64","Senior Software Engineer","Engineering","Senior","Jakarta","4.0 yrs","N/A","89","","Good","70"
"65","Employee 65","Senior Product Marketing","Marketing","Senior","Surabaya","5.7 yrs","N/A","74","Skill","Good","70"
"66","Employee 66","Lead HR Business Partner","HR","Lead","Surabaya","0.1 yrs","N/A","79","","Good","70"
"67","Employee 67","Senior Account Manager","Sales","Senior","Bandung","0.3 yrs","3 yrs ago","73","Skill","Good","100"
"68","Employee 68","Mid Admin Officer","Operations","Mid","Singapore","5.7 yrs","N/A","57","Skill","Good","100"
"69","Employee 69","Lead Data Analyst","Data","Lead","Surabaya","0.6 yrs","N/A","50","Skill","","80"
"70","Employee 70","Junior Software Engineer","Engineering","Junior","Bandung","3.6 yrs","N/A","66","Skill","Good","100"
"71","Employee 71","Lead Backend Engineer","Engineering","Lead","Singapore","2.9 yrs","N/A","63","","","20"
"72","Employee 72","Lead Data Analyst","Data","Lead","Jakarta","3.2 yrs","N/A","53","Skill","Good","100"
"73","Employee 73","Junior Data Analyst","Data","Junior","Singapore","2.8 yrs","N/A","70","Skill","Good","100"
"74","Employee 74","Doctor (General)","Clinical","General","Surabaya","2.6 yrs","1 yrs ago","62","","","50"
"75","Employee 75","Mid HR Business Partner","HR","Mid","Surabaya","4.6 yrs","1 yrs ago","66","Skill","Good","100"
"76","Employee 76","Junior Customer Support","Operations","Junior","Singapore","3.7 yrs","N/A","56","Skill","Good","100"
"77","Employee 77","Lead Data Analyst","Data","Lead","Surabaya","1.2 yrs","N/A","72","","Good","40"
"78","Employee 78","Mid Accountant","Finance","Mid","Surabaya","3.2 yrs","N/A","57","Skill","Good","100"
"79","Employee 79","Lead Software Engineer","Engineering","Lead","Bandung","2.3 yrs","3 yrs ago","86","","Good","70"
"80","Employee 80","Senior Frontend Engineer","Engineering","Senior","Bandung","4.0 yrs","0 yrs ago","82","","Good","70"
"81","Employee 81","Senior Marketing Specialist","Marketing","Senior","Surabaya","2.1 yrs","N/A","51","Skill","Good","100"
"82","Employee 82","Lead Payroll Specialist","Finance","Lead","Jakarta","3.1 yrs","1 yrs ago","53","Skill","Good","100"
"83","Employee 83","Nurse (Specialist)","Clinical","Specialist","Bandung","6.0 yrs","N/A","88","Skill","Good","100"
"84","Employee 84","Lead HR Generalist","HR","Lead","Jakarta","5.5 yrs","N/A","80","Skill","Good","100"
"85","Employee 85","Junior Backend Engineer","Engineering","Junior","Bandung","0.9 yrs","1 yrs ago","77","Skill","Good","100"
"86","Employee 86","Mid BI Analyst","Data","Mid","Surabaya","0.4 yrs","0 yrs ago","59","Skill","Good","100"
"87","Employee 87","Doctor (Consultant)","Clinical","Consultant","Singapore","5.9 yrs","N/A","74","Skill","Good","100"
"88","Employee 88","Junior HR Generalist","HR","Junior","Bandung","0.5 yrs","1 yrs ago","87","Skill","","50"
"89","Employee 89","Senior Marketing Specialist","Marketing","Senior","Bandung","0.9 yrs","N/A","68","Skill","Good","100"
"90","Employee 90","Nurse (Specialist)","Clinical","Specialist","Jakarta","1.1 yrs","N/A","73","","Good","40"
"91","Employee 91","Junior HR Generalist","HR","Junior","Jakarta","1.9 yrs","2 yrs ago","66","Skill","Good","100"
"92","Employee 92","Mid Payroll Specialist","Finance","Mid","Jakarta","0.9 yrs","N/A","72","Skill","Good","100"
"93","Employee 93","Mid Software Engineer","Engineering","Mid","Jakarta","0.5 yrs","N/A","50","Skill","","50"
"94","Employee 94","Senior Accountant","Finance","Senior","Jakarta","2.8 yrs","N/A","58","Skill","Good","100"
"95","Employee 95","Doctor (Specialist)","Clinical","Specialist","Jakarta","5.0 yrs","2 yrs ago","88","Skill","Good","100"
"96","Employee 96","Nurse (Specialist)","Clinical","Specialist","Surabaya","2.2 yrs","2 yrs ago","77","","","50"
"97","Employee 97","Senior Frontend Engineer","Engineering","Senior","Bandung","3.7 yrs","N/A","59","Skill","Good","100"
"98","Employee 98","Junior Payroll Specialist","Finance","Junior","Jakarta","0.2 yrs","N/A","61","Skill","Good","100"
"99","Employee 99","Lead Growth Analyst","Marketing","Lead","Jakarta","4.0 yrs","N/A","81","Skill","Good","100"
"100","Employee 100","Senior Data Analyst","Data","Senior","Singapore","1.4 yrs","0 yrs ago","52","Skill","Good","100"
"101","Employee 101","Junior BI Analyst","Data","Junior","Surabaya","5.4 yrs","2 yrs ago","73","Skill","Good","100"
"102","Employee 102","Lead Growth Analyst","Marketing","Lead","Singapore","0.8 yrs","N/A","89","Skill","Good","100"
"103","Employee 103","Pharmacist (Specialist)","Clinical","Specialist","Jakarta","1.3 yrs","0 yrs ago","61","Skill","Good","100"
"104","Employee 104","Junior Accountant","Finance","Junior","Singapore","1.8 yrs","N/A","58","","Good","70"
"105","Employee 105","Lab Technician (General)","Clinical","General","Bandung","0.5 yrs","N/A","64","Skill","Good","100"
"106","Employee 106","Senior Frontend Engineer","Engineering","Senior","Singapore","3.1 yrs","N/A","79","Skill","Good","100"
"107","Employee 107","Lead BI Analyst","Data","Lead","Bandung","2.8 yrs","2 yrs ago","59","Skill","Good","100"
"108","Employee 108","Mid Business Development","Sales","Mid","Jakarta","2.0 yrs","N/A","50","","","50"
"109","Employee 109","Nurse (Consultant)","Clinical","Consultant","Jakarta","2.5 yrs","0 yrs ago","71","Skill","Good","100"
"110","Employee 110","Lead HR Generalist","HR","Lead","Singapore","4.0 yrs","N/A","67","Skill","","50"
"111","Employee 111","Mid Marketing Specialist","Marketing","Mid","Surabaya","2.6 yrs","0 yrs ago","79","Skill","Good","100"
"112","Employee 112","Mid HR Business Partner","HR","Mid","Surabaya","1.6 yrs","N/A","65","Skill","Good","100"
"113","Employee 113","Junior HR Generalist","HR","Junior","Bandung","2.2 yrs","N/A","51","","Good","70"
"114","Employee 114","Doctor (Specialist)","Clinical","Specialist","Jakarta","3.0 yrs","N/A","86","Skill","Good","100"
"115","Employee 115","Lead Backend Engineer","Engineering","Lead","Jakarta","0.2 yrs","N/A","57","","","50"
"116","Employee 116","Lead Admin Officer","Operations","Lead","Surabaya","0.5 yrs","0 yrs ago","88","Skill","Good","100"
"117","Employee 117","Lead HR Generalist","HR","Lead","Jakarta","4.6 yrs","N/A","82","Skill","Good","100"
"118","Employee 118","Doctor (Consultant)","Clinical","Consultant","Surabaya","5.9 yrs","2 yrs ago","87","Skill","Good","100"
"119","Employee 119","Mid Backend Engineer","Engineering","Mid","Surabaya","4.7 yrs","N/A","50","Skill","Good","100"
"120","Employee 120","Mid Payroll Specialist","Finance","Mid","Singapore","4.9 yrs","1 yrs ago","60","Skill","Good","100"
"121","Employee 121","Senior Growth Analyst","Marketing","Senior","Surabaya","1.3 yrs","1 yrs ago","77","Skill","Good","100"
"122","Employee 122","Mid Product Marketing","Marketing","Mid","Surabaya","5.9 yrs","N/A","68","Skill","Good","100"
"123","Employee 123","Senior Software Engineer","Engineering","Senior","Bandung","2.4 yrs","N/A","89","Skill","Good","100"
"124","Employee 124","Senior BI Analyst","Data","Senior","Singapore","3.9 yrs","3 yrs ago","56","Skill","Good","100"
"125","Employee 125","Mid Marketing Specialist","Marketing","Mid","Jakarta","2.0 yrs","3 yrs ago","66","","","20"
"126","Employee 126","Lab Technician (Specialist)","Clinical","Specialist","Surabaya","4.8 yrs","N/A","57","Skill","Good","100"
"127","Employee 127","Nurse (Specialist)","Clinical","Specialist","Singapore","2.8 yrs","N/A","85","","Good","70"
"128","Employee 128","Lead Customer Support","Operations","Lead","Jakarta","4.7 yrs","3 yrs ago","62","Skill","Good","100"
"129","Employee 129","Junior Talent Acquisition","HR","Junior","Jakarta","2.1 yrs","N/A","80","Skill","Good","100"
"130","Employee 130","Senior Software Engineer","Engineering","Senior","Bandung","5.8 yrs","N/A","60","Skill","Good","100"
"131","Employee 131","Lead Data Analyst","Data","Lead","Jakarta","5.4 yrs","2 yrs ago","80","Skill","Good","100"
"132","Employee 132","Mid Business Development","Sales","Mid","Singapore","1.1 yrs","N/A","62","Skill","Good","100"
"133","Employee 133","Junior Software Engineer","Engineering","Junior","Surabaya","1.0 yrs","1 yrs ago","59","Skill","Good","70"
"134","Employee 134","Lead Financial Analyst","Finance","Lead","Surabaya","2.3 yrs","N/A","81","Skill","","80"
"135","Employee 135","Junior Accountant","Finance","Junior","Bandung","6.0 yrs","0 yrs ago","77","Skill","Good","100"
"136","Employee 136","Junior Account Manager","Sales","Junior","Singapore","2.8 yrs","N/A","73","Skill","Good","100"
"137","Employee 137","Senior Account Manager","Sales","Senior","Surabaya","1.0 yrs","N/A","89","","","20"
"138","Employee 138","Mid Product Marketing","Marketing","Mid","Singapore","0.6 yrs","N/A","81","Skill","Good","100"
"139","Employee 139","Mid Customer Support","Operations","Mid","Singapore","5.1 yrs","3 yrs ago","76","Skill","Good","100"
"140","Employee 140","Nurse (General)","Clinical","General","Jakarta","4.8 yrs","2 yrs ago","78","Skill","Good","100"
"141","Employee 141","Senior Payroll Specialist","Finance","Senior","Bandung","3.9 yrs","3 yrs ago","77","Skill","Good","100"
"142","Employee 142","Lead Growth Analyst","Marketing","Lead","Surabaya","3.8 yrs","0 yrs ago","63","Skill","Good","100"
"143","Employee 143","Mid Payroll Specialist","Finance","Mid","Surabaya","2.8 yrs","N/A","85","Skill","Good","100"
"144","Employee 144","Doctor (Specialist)","Clinical","Specialist","Singapore","3.4 yrs","0 yrs ago","77","Skill","Good","100"
"145","Employee 145","Lead Frontend Engineer","Engineering","Lead","Jakarta","3.8 yrs","3 yrs ago","74","Skill","Good","100"
"146","Employee 146","Junior Software Engineer","Engineering","Junior","Bandung","1.0 yrs","0 yrs ago","60","","Good","40"
"147","Employee 147","Lab Technician (Consultant)","Clinical","Consultant","Singapore","2.4 yrs","N/A","62","","Good","70"
"148","Employee 148","Mid Growth Analyst","Marketing","Mid","Singapore","4.2 yrs","N/A","65","Skill","Good","100"
"149","Employee 149","Lead Marketing Specialist","Marketing","Lead","Surabaya","4.1 yrs","2 yrs ago","56","Skill","Good","100"
"150","Employee 150","Nurse (General)","Clinical","General","Jakarta","5.9 yrs","N/A","68","","Good","70"
"151","Employee 151","Lab Technician (Specialist)","Clinical","Specialist","Singapore","3.3 yrs","3 yrs ago","74","","Good","40"
"152","Employee 152","Senior Account Manager","Sales","Senior","Singapore","4.6 yrs","0 yrs ago","54","","Good","70"
"153","Employee 153","Lead Software Engineer","Engineering","Lead","Singapore","0.4 yrs","N/A","79","Skill","Good","100"
"154","Employee 154","Junior Business Development","Sales","Junior","Bandung","5.3 yrs","N/A","62","Skill","Good","100"
"155","Employee 155","Pharmacist (Specialist)","Clinical","Specialist","Singapore","5.9 yrs","3 yrs ago","71","Skill","Good","100"
"156","Employee 156","Mid Marketing Specialist","Marketing","Mid","Singapore","0.5 yrs","1 yrs ago","76","Skill","Good","100"
"157","Employee 157","Lead Data Analyst","Data","Lead","Jakarta","0.8 yrs","3 yrs ago","65","Skill","Good","100"
"158","Employee 158","Mid Operations Specialist","Operations","Mid","Surabaya","1.2 yrs","0 yrs ago","52","Skill","","80"
"159","Employee 159","Lead Frontend Engineer","Engineering","Lead","Singapore","5.6 yrs","3 yrs ago","73","Skill","Good","100"
"160","Employee 160","Junior Financial Analyst","Finance","Junior","Jakarta","2.9 yrs","N/A","75","Skill","Good","100"
"161","Employee 161","Junior Accountant","Finance","Junior","Surabaya","2.5 yrs","3 yrs ago","85","","Good","70"
"162","Employee 162","Mid Talent Acquisition","HR","Mid","Singapore","4.4 yrs","N/A","73","Skill","Good","100"
"163","Employee 163","Pharmacist (General)","Clinical","General","Surabaya","2.3 yrs","0 yrs ago","54","Skill","Good","100"
"164","Employee 164","Lab Technician (Specialist)","Clinical","Specialist","Singapore","2.6 yrs","3 yrs ago","61","Skill","Good","100"
"165","Employee 165","Lead HR Generalist","HR","Lead","Jakarta","3.2 yrs","0 yrs ago","86","Skill","","80"
"166","Employee 166","Lab Technician (Consultant)","Clinical","Consultant","Surabaya","5.6 yrs","N/A","69","","Good","70"
"167","Employee 167","Senior Frontend Engineer","Engineering","Senior","Bandung","5.2 yrs","N/A","53","","Good","70"
"168","Employee 168","Senior Software Engineer","Engineering","Senior","Bandung","5.5 yrs","N/A","77","Skill","Good","100"
"169","Employee 169","Lead Admin Officer","Operations","Lead","Bandung","5.2 yrs","N/A","69","","Good","70"
"170","Employee 170","Mid Operations Specialist","Operations","Mid","Jakarta","2.5 yrs","N/A","69","Skill","Good","100"
"171","Employee 171","Mid Business Development","Sales","Mid","Bandung","1.7 yrs","N/A","86","Skill","Good","100"
"172","Employee 172","Lead Frontend Engineer","Engineering","Lead","Jakarta","2.4 yrs","N/A","59","","Good","70"
"173","Employee 173","Senior HR Business Partner","HR","Senior","Jakarta","5.0 yrs","1 yrs ago","77","Skill","Good","100"
"174","Employee 174","Mid Business Development","Sales","Mid","Surabaya","1.1 yrs","N/A","60","Skill","Good","100"
"175","Employee 175","Nurse (General)","Clinical","General","Surabaya","5.5 yrs","1 yrs ago","70","","Good","70"
"176","Employee 176","Junior Operations Specialist","Operations","Junior","Surabaya","4.7 yrs","N/A","62","Skill","Good","100"
"177","Employee 177","Mid Backend Engineer","Engineering","Mid","Singapore","4.9 yrs","3 yrs ago","55","Skill","Good","100"
"178","Employee 178","Mid Frontend Engineer","Engineering","Mid","Jakarta","3.7 yrs","2 yrs ago","85","Skill","Good","100"
"179","Employee 179","Junior Payroll Specialist","Finance","Junior","Bandung","5.9 yrs","1 yrs ago","87","Skill","Good","100"
"180","Employee 180","Senior BI Analyst","Data","Senior","Bandung","4.8 yrs","N/A","62","Skill","Good","100"
"181","Employee 181","Lead Marketing Specialist","Marketing","Lead","Surabaya","5.9 yrs","1 yrs ago","68","Skill","","80"
"182","Employee 182","Senior Sales Executive","Sales","Senior","Surabaya","2.2 yrs","N/A","60","Skill","Good","100"
"183","Employee 183","Senior Data Scientist","Data","Senior","Surabaya","0.1 yrs","N/A","55","","Good","70"
"184","Employee 184","Lead Data Analyst","Data","Lead","Bandung","3.8 yrs","2 yrs ago","70","","Good","70"
"185","Employee 185","Lead HR Business Partner","HR","Lead","Jakarta","2.9 yrs","0 yrs ago","82","Skill","Good","100"
"186","Employee 186","Junior Data Analyst","Data","Junior","Bandung","1.3 yrs","1 yrs ago","71","Skill","Good","100"
"187","Employee 187","Senior Product Marketing","Marketing","Senior","Singapore","1.6 yrs","0 yrs ago","60","Skill","Good","100"
"188","Employee 188","Junior Backend Engineer","Engineering","Junior","Jakarta","2.4 yrs","N/A","73","Skill","Good","100"
"189","Employee 189","Pharmacist (Consultant)","Clinical","Consultant","Jakarta","5.0 yrs","N/A","80","Skill","","50"
"190","Employee 190","Lead Data Analyst","Data","Lead","Bandung","4.1 yrs","N/A","79","Skill","Good","100"
"191","Employee 191","Mid Product Marketing","Marketing","Mid","Singapore","3.6 yrs","0 yrs ago","83","Skill","Good","100"
"192","Employee 192","Pharmacist (Specialist)","Clinical","Specialist","Surabaya","5.6 yrs","3 yrs ago","88","Skill","Good","100"
"193","Employee 193","Junior Marketing Specialist","Marketing","Junior","Surabaya","3.5 yrs","2 yrs ago","62","Skill","Good","100"
"194","Employee 194","Lead Financial Analyst","Finance","Lead","Bandung","2.8 yrs","N/A","57","","Good","70"
"195","Employee 195","Lead Business Development","Sales","Lead","Singapore","5.2 yrs","N/A","72","Skill","Good","100"
"196","Employee 196","Junior HR Generalist","HR","Junior","Singapore","0.6 yrs","3 yrs ago","59","Skill","Good","100"
"197","Employee 197","Doctor (General)","Clinical","General","Jakarta","1.5 yrs","0 yrs ago","75","Skill","Good","100"
"198","Employee 198","Junior Financial Analyst","Finance","Junior","Jakarta","3.7 yrs","N/A","73","Skill","Good","100"
"199","Employee 199","Lead Marketing Specialist","Marketing","Lead","Bandung","1.1 yrs","2 yrs ago","81","Skill","","80"
